漢字,タイプ,読み方,,,,,,,,
愛,音読,あい,愛情,愛読,恋愛,,,,,
暗,音読,あん,暗示,暗愚,明暗,,,,,
暗,訓読,くら,暗い,暗がり,,,,,,
抜,音読,ばつ,抜群,選抜,,,,,,
抜,訓読,ぬ,抜く,抜ける,気抜け,抜かす,ぬかる,,,
敗,音読,はい,敗北,腐敗,,,,,,
敗,訓読,やぶ,敗れる,,,,,,,
抱,音読,ほう,抱負,抱懐,介抱,,,,,
抱,訓読,だ,抱く,,,,,,,
抱,訓読,いだ,抱く,,,,,,,
抱,訓読,かか,抱える,一抱え,,,,,,
報,音読,ほう,報酬,報告,情報,,,,,
報,訓読,むく,報いる,,,,,,,
杯,音読,はい,祝杯,,,,,,,
杯,訓読,さかずき,杯,,,,,,,
悲,音読,ひ,悲喜,悲劇,慈悲,,,,,
悲,訓読,かな,悲しい,悲しむ,悲しみ,,,,,
背,音読,はい,背後,背景,腹背,,,,,
背,訓読,せ,背,背丈,背中,,,,,
背,訓読,そむ,背く,背ける,,,,,,
備,音読,び,備考,守備,準備,,,,,
備,訓読,そな,備える,備え,備わる,,,,,
彼,音読,ひ,彼我,彼岸,,,,,,
彼,訓読,かれ,彼,彼ら,,,,,,
彼,訓読,かの,彼女,,,,,,,
必,音読,ひつ,必然,必要,,,,,,
必,訓読,かなら,必ず,必ずしも,,,,,,
閉,音読,へい,閉店,閉口,,,,,,
閉,訓読,と,閉じる,閉じ込める,閉ざす,,,,,
閉,訓読,し,閉める,閉まる,,,,,,
便,音読,べん,便利,便法,簡便,,,,,
便,音読,びん,便乗,郵便,,,,,,
便,訓読,たよ,便り,,,,,,,
変,音読,へん,変化,異変,大変,,,,,
変,訓読,か,変わる,変わり種,変える,,,,,
表,音読,ひょう,表面,代表,,,,,,
表,訓読,おもて,表,表門,裏表,,,,,
表,訓読,あらわ,表す,表れる,,,,,,
捕,音読,ほ,捕獲,捕虜,逮捕,,,,,
捕,訓読,と,捕らえる,捕らわれる,捕る,捕り物,,,,
捕,訓読,つか,捕まえる,捕まる,,,,,,
怖,音読,ふ,恐怖,,,,,,,
怖,訓読,こわ,怖い,怖がる,,,,,,
部,音読,ぶ,部分,全部,本部,,,,,
才,音読,さい,才能,才覚,秀才,,,,,
財,音読,ざい,財産,私財,文化財,,,,,
財,音読,さい,財布,,,,,,,
参,音読,さん,参加,降参,,,,,,
参,訓読,まい,参る,寺参り,,,,,,
残,音読,ざん,残留,残念,敗残,,,,,
残,訓読,のこ,残る,残り,残す,食べ残し,,,,
草,音読,そう,草案,雑草,牧草,,,,,
草,訓読,くさ,草,草花,,,,,,
側,音読,そく,側面,,,,,,,
側,訓読,かわ,側,,,,,,,
側,訓読,がわ,裏側,片側,,,,,,
察,音読,さつ,観察,考察,,,,,,
差,音読,さ,差異,差別,誤差,,,,,
差,訓読,さ,差す,,,,,,,
産,音読,さん,産業,生産,出産,,,,,
産,訓読,う,産む,産み月,産まれる,,,,,
産,訓読,うぶ,産湯,産着,産毛,,,,,
常,音読,じょう,常備,日常,非常,,,,,
常,訓読,つね,常,常に,,,,,,
常,訓読,とこ,常夏,,,,,,,
成,音読,せい,成功,完成,賛成,,,,,
成,音読,じょう,成就,成仏,,,,,,
成,訓読,な,成る,成り立つ,成す,成し遂げる,,,,
乗,音読,じょう,乗数,乗車,,,,,,
乗,訓読,の,乗る,乗り物,乗せる,,,,,
程,音読,てい,程度,日程,過程,,,,,
程,訓読,ほど,程,程遠い,身の程,,,,,
遅,音読,ち,遅延,遅刻,遅速,,,,,
遅,訓読,おく,遅れる,遅れ,遅らす,,,,,
遅,訓読,おそ,遅い,遅咲き,,,,,,
恥,音読,ち,恥辱,無恥,破廉恥,,,,,
恥,訓読,は,恥じる,恥じ入る,恥じらう,恥ずかしい,,,,
恥,訓読,はじ,恥,生き恥,,,,,,
歯,音読,し,歯科,乳歯,義歯,,,,,
歯,訓読,は,歯,,,,,,,
初,音読,しょ,初期,初心者,最初,,,,,
初,訓読,はじ,初め,初めて,,,,,,
初,訓読,はつ,初雪,初耳,,,,,,
初,訓読,うい,初陣,,,,,,,
除,音読,じょ,除外,除数,解除,,,,,
除,音読,じ,掃除,,,,,,,
除,訓読,のぞ,除く,,,,,,,
処,音読,しょ,処置,処罰,処女,,,,,
船,音読,せん,船舶,乗船,汽船,,,,,
船,訓読,ふね,船,,,,,,,
船,訓読,ふな,船旅,船賃,,,,,,
窓,音読,そう,車窓,同窓,深窓,,,,,
窓,訓読,まど,窓,窓口,出窓,,,,,
吹,音読,すい,吹奏,吹鳴,鼓吹,,,,,
吹,訓読,ふ,吹く,,,,,,,
辞,音読,じ,辞書,辞職,式辞,,,,,
辞,訓読,や,辞める,,,,,,,
次,音読,じ,次回,次元,目次,,,,,
次,音読,し,次第,,,,,,,
次,訓読,つ,次ぐ,次いで,,,,,,
次,訓読,つぎ,次,次に,,,,,,
存,音読,そん,存在,存続,既存,,,,,
存,音読,ぞん,存分,保存,,,,,,
達,音読,たつ,達人,調達,伝達,,,,,
打,音読,だ,打撃,打破,乱打,,,,,
打,訓読,う,打つ,,,,,,,
単,音読,たん,単独,単位,簡単,,,,,
当,音読,とう,当惑,当然,妥当,,,,,
当,訓読,あ,当たる,当たり,当てる,当て,,,,
倒,音読,とう,倒産,圧倒,傾倒,,,,,
倒,訓読,たお,倒れる,倒す,,,,,,
到,音読,とう,到着,到底,周到,,,,,
盗,音読,とう,盗難,盗用,強盗,,,,,
盗,訓読,ぬす,盗む,盗み,,,,,,
得,音読,とく,得意,会得,損得,,,,,
得,訓読,え,得る,,,,,,,
得,訓読,う,有り得る,,,,,,,
登,音読,とう,登壇,登校,登記,,,,,
登,訓読,と,登山,登城,,,,,,
登,訓読,のぼ,登る,山登り,,,,,,
等,音読,とう,等分,等級,,,,,,
等,訓読,ひと,等しい,,,,,,,
点,音読,てん,点線,点火,採点,,,,,
調,音読,ちょう,調和,調査,好調,,,,,
調,訓読,しら,調べる,調べ,,,,,,
調,訓読,ととの,調う,,,,,,,
頂,音読,ちょう,頂上,頂点,絶頂,,,,,
頂,訓読,いただ,頂く,,,,,,,
頂,訓読,いただき,頂,,,,,,,
定,音読,てい,定価,安定,決定,,,,,
定,音読,じょう,定石,定紋,必定,,,,,
定,訓読,さだ,定める,定め,定まる,,,,,
働,音読,どう,労働,実働,,,,,,
働,訓読,はたら,働く,働き,,,,,,
都,音読,と,都会,都心,首都,,,,,
都,訓読,つ,都合,都度,,,,,,
都,訓読,みやこ,都,都落ち,,,,,,
渡,音読,と,渡航,渡河,譲渡,,,,,
渡,訓読,わた,渡る,渡り,渡す,渡し,,,,
段,音読,だん,階段,手段,,,,,,
断,音読,だん,断絶,断定,判断,,,,,
断,訓読,た,断つ,,,,,,,
断,訓読,ことわ,断る,断り,,,,,,
対,音読,たい,対立,絶対,反対,,,,,
対,音読,つい,対句,一対,,,,,,
