漢字,タイプ,読み方,,,,,,,
安,音読,あん,安全,安価,不安,,,,
安,訓読,やす,安い,,,,,,
別,音読,べつ,別離,区別,特別,,,,
別,訓読,わか,別れる,別れ,,,,,
病,音読,びょう,病気,病根,看病,,,,
病,音読,へい,,,,,,,
病,訓読,や,病む,病み付き,,,,,
病,訓読,やまい,病,,,,,,
不,音読,ふ,不当,不利,,,,,
不,音読,ぶ,不作法,不用心,,,,,
歩,音読,ほ,歩道,徒歩,,,,,
歩,音読,ぶ,歩合,日歩,,,,,
歩,音読,ふ,歩,,,,,,
歩,訓読,ある,歩く,,,,,,
歩,訓読,あゆ,歩む,歩み,,,,,
茶,音読,ちゃ,茶色,番茶,,,,,
茶,音読,さ,茶菓,茶話会,喫茶,,,,
場,音読,じょう,場内,会場,入場,,,,
場,訓読,ば,場,場所,広場,,,,
朝,音読,ちょう,朝食,早朝,今朝,,,,
朝,訓読,あさ,朝,朝日,毎朝,,,,
持,音読,じ,持参,持続,支持,,,,
持,訓読,も,持つ,,,,,,
赤,音読,せき,赤道,赤貧,発赤,,,,
赤,音読,しゃく,赤銅,,,,,,
赤,訓読,あか,赤,赤字,赤ん坊,赤い,赤らむ,赤らめる,
春,音読,しゅん,春季,立春,青春,,,,
春,訓読,はる,春,春めく,,,,,
答,音読,とう,答弁,応答,,,,,
答,訓読,こた,答える,答え,,,,,
代,音読,だい,代理,世代,現代,,,,
代,音読,たい,代謝,交代,,,,,
代,訓読,か,代わる,代わり,代える,,,,
代,訓読,よ,代,,,,,,
代,訓読,しろ,代物,苗代,,,,,
待,音読,たい,待機,待遇,期待,,,,
待,訓読,ま,待つ,待ち遠しい,,,,,
貸,音読,たい,貸借,貸与,賃貸,,,,
貸,訓読,か,貸す,貸し,,,,,
道,音読,どう,道路,道徳,報道,,,,
道,音読,とう,神道,,,,,,
道,訓読,みち,道,近道,,,,,
地,音読,ち,地下,天地,境地,,,,
地,音読,じ,地面,地震,地元,,,,
弟,音読,てい,弟妹,義弟,子弟,,,,
弟,音読,だい,兄弟,,,,,,
弟,音読,で,弟子,,,,,,
弟,訓読,おとうと,弟,,,,,,
店,音読,てん,店舗,開店,本店,,,,
店,訓読,みせ,店,,,,,,
町,音読,ちょう,町会,市町村,,,,,
町,訓読,まち,町会,町外れ,,,,,
冬,音読,とう,冬季,冬至,越冬,,,,
