漢字,タイプ,読み方,,,,,,,
八,音読,はち,八月,,,,,,
八,訓読,や,八つ当たり,,,,,,
八,訓読,よう,八日,,,,,,
八,訓読,やっ,八つ,,,,,,
白,音読,はく,紅白,明白,,,,,
白,音読,びゃく,黒白,,,,,,
白,訓読,しろ,白,白黒,真っ白,白い,,,
白,訓読,しら,白壁,白む,白ける,,,,
百,音読,ひゃく,,,,,,,
半,音読,はん,半分,半面,大半,,,,
半,訓読,なか,半ば,,,,,,
北,音読,ほく,北進,,,,,,
北,訓読,きた,北,北半球,,,,,
本,音読,ほん,本質,本来,資本,,,,
本,訓読,もと,本,,,,,,
長,音読,ちょう,長女,長所,成長,,,,
長,訓読,なが,長い,長さ,,,,,
車,音読,しゃ,車輪,車庫,電車,,,,
車,訓読,くるま,車,,,,,,
出,音読,しゅつ,出入,出現,提出,,,,
出,音読,すい,出納,,,,,,
出,訓読,で,出る,出窓,遠出,,,,
出,訓読,だ,出す,,,,,,
川,音読,せん,川柳,河川,,,,,
川,訓読,かわ,川,川岸,,,,,
大,音読,だい,大小,大胆,拡大,,,,
大,音読,たい,大衆,大した,大して,,,,
大,訓読,おお,大型,大通り,大水,大きい,大きさ,大きな,大いに
電,音読,でん,電気,電報,発電,,,,
東,音読,とう,東西,,,,,,
東,訓読,ひがし,東西,東側,,,,,
読,音読,どく,読書,音読,購読,,,,
読,音読,とく,読本,,,,,,
読,音読,とう,読点,句読点,,,,,
読,訓読,よ,読む,読み,,,,,
二,音読,に,二分,十二月,,,,,
二,訓読,ふた,二つ,,,,,,
父,音読,ふ,父母,父兄,祖父,,,,
父,訓読,ちち,父,父親,,,,,
高,音読,こう,高低,高級,最高,,,,
高,訓読,たか,高い,高台,高ぶる,高,高まる,高める,
国,音読,こく,国際,外国,,,,,
国,訓読,くに,国,,,,,,
行,音読,こう,行進,行為,旅行,,,,
行,音読,ぎょう,行列,行政,修行,,,,
行,音読,あん,行脚,行火,,,,,
行,訓読,い,行く,,,,,,
行,訓読,ゆ,行く末,,,,,,
行,訓読,おこな,行う,行い,,,,,
何,音読,か,幾何学,,,,,,
何,訓読,なに,何,何者,何事,,,,
何,訓読,なん,何人,何時間,何日,,,,
後,音読,ご,後刻,前後,午後,,,,
後,音読,こう,後続,後悔,後輩,,,,
後,訓読,のち,後添い,,,,,,
後,訓読,うし,後ろ,後ろめたい,,,,,
後,訓読,あと,後刻,後味,後回し,,,,
後,訓読,おく,後れる,後れ毛,気後れ,,,,
話,音読,わ,話題,会話,童話,,,,
話,訓読,はな,話す,話し合い,,,,,
話,訓読,はなし,話,,,,,,
火,音読,か,火災,灯火,発火,,,,
火,訓読,ひ,火,火花,,,,,
火,訓読,ほ,火影,,,,,,
間,音読,かん,間隔,中間,時間,,,,
間,音読,けん,世間,,,,,,
間,訓読,あいだ,間,間柄,,,,,
間,訓読,ま,間違う,客間,,,,,
見,音読,けん,見学,見地,意見,,,,
見,訓読,み,見る,下見,見える,見せる,,,
今,音読,こん,今後,今朝,,,,,
今,音読,きん,今古,,,,,,
今,訓読,いま,今,今し方,,,,,
金,音読,きん,金属,金銭,純金,,,,
金,音読,こん,金色,金剛力,,,,,
金,訓読,かね,金,金持ち,,,,,
金,訓読,かな,金物,金具,金縛り,,,,
九,音読,きゅう,九州,,,,,,
九,音読,く,九分九厘,九月,,,,,
九,訓読,ここの,九日,九重,九つ,,,,
