web-scraper-order,web-scraper-start-url,question,exercise,exercise-href
"1708214621-1","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-grammar-test/page/2/","1. 退社して５年　_______　、昔の同僚に会った。
 以来
 ぶりに
 ところ
 あとで","JLPT N2 – Grammar Exercise 25","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-grammar-exercise-25/"
"1708214621-2","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-grammar-test/page/2/","2. 地下鉄２号線で行けば、乗り換え　_______　。
 しないではいられない
 しないこともない
 しないでおく
 しないですむ","JLPT N2 – Grammar Exercise 25","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-grammar-exercise-25/"
"1708214621-3","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-grammar-test/page/2/","3. わたしは、いつ雨が　_______　、常に折り畳み傘を持ち歩いている。
 降ってもいいように
 降っているとすると
 降らないせいで
 降ることがないのに","JLPT N2 – Grammar Exercise 25","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-grammar-exercise-25/"
"1708214621-4","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-grammar-test/page/2/","4. 月末で忙しく、映画を見る　_______　、食事をする時間さえもない。
 ばかりか
 ものなら
 どころか
 ことか","JLPT N2 – Grammar Exercise 25","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-grammar-exercise-25/"
"1708214621-5","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-grammar-test/page/2/","5. ヨーロッパからアジアに　_______　テロ事件は広がりを見せている。
 かいて
 おけて
 ついて
 わたって","JLPT N2 – Grammar Exercise 25","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-grammar-exercise-25/"
"1708214621-6","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-grammar-test/page/2/","次の文章を読んで、「１」から「５」の中に入る最もよいものを、１・２・３・４・から一つ選びなさい。","JLPT N2 – Grammar Exercise 25","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-grammar-exercise-25/"
"1708214621-7","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-grammar-test/page/2/","日本人に個性がないということはよく言われていることだけれど、今世界的に、一週間、「…１…」年間にどれだけ働くか、ということについて、常識的な申し合わせが行われていることには、わたしはいつも違和感を覚えている。","JLPT N2 – Grammar Exercise 25","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-grammar-exercise-25/"
"1708214621-8","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-grammar-test/page/2/","わたしは毎年、身体障害者の方たちとイスラエルやイタリアなどに巡礼の旅をしているが、一昨年はシナイ山に登った。盲人も６人、ボランティアの助力を得て頂上を究めた。","JLPT N2 – Grammar Exercise 25","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-grammar-exercise-25/"
"1708214621-9","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-grammar-test/page/2/","普段、数１０歩しか歩けない車椅子の人にも、頂上への道を少しでも歩いてもらった。障害者にとっての山頂は、決して現実の山の頂ではない。もし普段１００歩しか歩けない障碍者が、頑張ってその日「…２…」、山道を２００歩歩いて力尽きたら、そこ「…３…」がその人にとっての光栄ある山頂なのである。","JLPT N2 – Grammar Exercise 25","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-grammar-exercise-25/"
"1708214621-10","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-grammar-test/page/2/","人間が週に何時間働くべきか、ということにも、一人一人の適切な時間があると思う。労働時間を一律に決めなければならない、とするのは専門職ではない。未熟連労働に対する基準としてのみ有効である。","JLPT N2 – Grammar Exercise 25","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-grammar-exercise-25/"
