web-scraper-order,web-scraper-start-url,page,page-href,question,underline
"1708214142-1","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/2/","JLPT N2 – Kanji Exercise 21","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-21/","1. 親切のつもりが、よけいなお世話となって嫌われたりすることもある。
 余計
 予計
 余形
 予形","よけい"
"1708214142-2","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/2/","JLPT N2 – Kanji Exercise 21","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-21/","2. この国はふくしが充実している。
 福施
 副施
 副詞
 福祉","ふくし"
"1708214142-3","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/2/","JLPT N2 – Kanji Exercise 21","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-21/","3. 登山家は、一瞬の油断で命を奪ってしまうこともある。
 ゆうたん
 ゆうだん
 ゆたん
 ゆだん","油断"
"1708214142-4","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/2/","JLPT N2 – Kanji Exercise 21","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-21/","4. 今晩の宴会、料理の予算は一人当たりいくらぐらいを目安にしますか。
 めやす
 もくやす
 ぼくあん
 もくあん","目安"
"1708214142-5","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/2/","JLPT N2 – Kanji Exercise 21","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-21/","5. このボタンでラジオの音量を自由にかげんできる。
 上減
 助下
 加減
 増減","かげん"
"1708214142-6","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/2/","JLPT N2 – Kanji Exercise 21","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-21/","6. 物事にあきっぽいと何もできないよ。
 諦っぽい
 保っぽい
 飽きっぽい
 葉っぽい","あきっぽい"
"1708214142-7","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/2/","JLPT N2 – Kanji Exercise 21","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-21/","7. 今回は田中選手の圧勝だった。
 あっしょう
 ゆうしょう
 あっしゅう
 ゆうしゅう","圧勝"
"1708214142-8","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/2/","JLPT N2 – Kanji Exercise 21","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-21/","8. この研究については、データの信憑性を疑う声もある。
 うかがう
 うたがう
 やしなう
 うらなう","疑う"
"1708214142-9","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/2/","JLPT N2 – Kanji Exercise 21","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-21/","9. A氏は人類学の本をあらわした。
 表した
 現した
 著した
 書した","あらわした"
"1708214142-10","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/2/","JLPT N2 – Kanji Exercise 21","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-21/","10. 今後もサービス向上につとめていきたいと思っています。
 志めて
 勧めて
 労めて
 努めて","つとめて"
"1708214142-11","https://japanesetest4you.com/category/jlpt-n2/jlpt-n2-kanji-test/page/2/","JLPT N2 – Kanji Exercise 21","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n2-kanji-exercise-21/","Answer Key:",""
