退社して５年 _______、昔の同僚に会った。,以来,ぶりに,ところ,あとで,ぶりに,文法の形式の判断,N2,N2-25-1
地下鉄２号線で行けば、乗り換え _______。,しないではいられない,しないこともない,しないでおく,しないですむ,しないですむ,文法の形式の判断,N2,N2-25-2
わたしは、いつ雨が _______、常に折り畳み傘を持ち歩いている。,降ってもいいように,降っているとすると,降らないせいで,降ることがないのに,降ってもいいように,文法の形式の判断,N2,N2-25-3
月末で忙しく、映画を見る _______、食事をする時間さえもない。,ばかりか,ものなら,どころか,ことか,どころか,文法の形式の判断,N2,N2-25-4
ヨーロッパからアジアに _______テロ事件は広がりを見せている。,かいて,おけて,ついて,わたって,わたって,文法の形式の判断,N2,N2-25-5
「…１…」に入る最も適当なものはどれか。,それなら,あるいは,それでも,まさか,あるいは,文法の形式の判断,N2,N2-25-6
「…２…」に入る最も適当なものはどれか。,に限り,に加えて,に応じて,に通じて,に限り,文法の形式の判断,N2,N2-25-7
「…３…」に入る最も適当なものはどれか。,だけ,さえ,しか,こそ,こそ,文法の形式の判断,N2,N2-25-8
「…４…」に入る最も適当なものはどれか。,につけ,のたびに,あたり,によって,あたり,文法の形式の判断,N2,N2-25-9
「…５…」に入る最も適当なものはどれか。,かけてもいい,かけようと,かけたらいい,かけてはいけないと,かけようと,文法の形式の判断,N2,N2-25-10
仕事の報告 _______、入院中の課長のお見舞いに伺った。,に限らず,だらけで,をかねて,とともに,をかねて,文法の形式の判断,N2,N2-24-1
あのまじめな佐藤さんがうそをつく _______、とても信じられない。,なんて,などを,なんか,とか,なんて,文法の形式の判断,N2,N2-24-2
田中さんご夫妻 _______の結婚話は残念ながら、うまくいかなかった。,にわたって,にかけて,をとおして,をたとえて,をとおして,文法の形式の判断,N2,N2-24-3
ここに来た _______、お金を返してもらえないと、もう帰るつもりはない。,以前,以上,際に,時に,以上,文法の形式の判断,N2,N2-24-4
外国人と分かったら、部屋を貸してくれないのは差別と _______。,いうものだ,しかない,しかたがない,決まっている,いうものだ,文法の形式の判断,N2,N2-24-5
留学生会館で _______ _______…★…  _______という夢を持つようになった。,国連で仕事をしたい,友達になった,いろいろな国の人と,のをきっかけに,のをきっかけに,文の組み立て,N2,N2-24-6
姉の _______ _______…★…  _______、わたしにはとてもできない。,欠かさず,ように,１０年以上一日も,日記を聞くなんて,欠かさず,文の組み立て,N2,N2-24-7
習ったことがない文法に限って出題されたものだから、できませんでした。まったく _______ _______  _______…★…どちらも情けないですよね。まあ、今になって文句を言ってもしかたがありません。続けて頑張りましょう。,習うほうも,出題するほうも,出題するほうで,習うほうなら,出題するほうで,文の組み立て,N2,N2-24-8
就職はしたものの、学生気分が抜けず、 _______ _______…★…  _______。,自由な生活が,社会人に,恋しくて,なりきれない,社会人に,文の組み立て,N2,N2-24-9
友人に _______ _______…★…  _______が、やってみたら以外に面白くて、自分に向いていると感じた。,塾講師の仕事だった,どうしても,引き受けた,と頼まれて,と頼まれて,文の組み立て,N2,N2-24-10
もう決めた以上、最後まで頑張り _______つもりだ。,かける,こむ,きれる,ぬく,ぬく,文法の形式の判断,N2,N2-23-1
息子は家に閉じこもってゲームばかりやっているので、友達がいない _______。,にちがいない,ということだ,のも当然だ,かのようだ,のも当然だ,文法の形式の判断,N2,N2-23-2
わたしがテニスを教えている中学生が、県大会で初めて優勝した。彼の努力をずっと見てきた _______、本当にうれしい。,あげく,際に,あまり,だけに,だけに,文法の形式の判断,N2,N2-23-3
木村さん _______、会社で中国語の分かる人は一人もいない。,をのぞいて,にかかわらず,をとわず,はともかく,をのぞいて,文法の形式の判断,N2,N2-23-4
ある国の政府に対して不満があるという理由で、その国の国民にも偏見を持つなんて _______。,それも当たり前のことだといえるだろう,変な考え方としか言いようがない,とんでもないこともない,自分の国の問題には全然関心を示していない,変な考え方としか言いようがない,文法の形式の判断,N2,N2-23-5
留学生の君はゼロ円で携帯をもらえるから、わざわざお金をかけて新品を買う _______と思うよ。,わけはない,はずはない,ことはない,ものはない,ことはない,文法の形式の判断,N2,N2-23-6
あいつは _______ばかりか、無断欠勤もしばしばある。,遅刻しない,欠勤しない,欠勤する,遅刻する,遅刻する,文法の形式の判断,N2,N2-23-7
あのバッグ、セールの時に買っておけばよかった _______と後悔している。,ので,のに,ように,と,のに,文法の形式の判断,N2,N2-23-8
明るいうちに _______、夜になると道に迷いやすいですよ。,帰らないと,帰らなくて,帰れば,帰ったら,帰らないと,文法の形式の判断,N2,N2-23-9
好きだ _______、毎日同じ食べ物ばかり食べるのはよくないよ。,ものの,ばかりか,からには,からといって,からといって,文法の形式の判断,N2,N2-23-10
