web-scraper-order,web-scraper-start-url,question,exercise,exercise-href
"1704513715-1","https://japanesetest4you.com/category/jlpt-n3/jlpt-n3-vocabulary-test/page/2/","1. 彼は私たちを _______ んだと思うわ。
 おこってる
 さぼってる
 かけてる
 さけてる","JLPT N3 – Vocabulary Exercise 21","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n3-vocabulary-exercise-21/"
"1704513715-2","https://japanesetest4you.com/category/jlpt-n3/jlpt-n3-vocabulary-test/page/2/","2. 君は今夜見せたよりはましな _______ を発揮した。
 才能
 可能
 本能
 機能","JLPT N3 – Vocabulary Exercise 21","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n3-vocabulary-exercise-21/"
"1704513715-3","https://japanesetest4you.com/category/jlpt-n3/jlpt-n3-vocabulary-test/page/2/","3. わたしは _______ にして優秀なる頭脳に恵まれている。
 直
 甘い
 幸い
 辛い","JLPT N3 – Vocabulary Exercise 21","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n3-vocabulary-exercise-21/"
"1704513715-5","https://japanesetest4you.com/category/jlpt-n3/jlpt-n3-vocabulary-test/page/2/","4. 姉の結婚祝いに写真の _______ をプレゼントしようと思ってる。
 カメラ
 インク
 アルバム
 アウト","JLPT N3 – Vocabulary Exercise 21","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n3-vocabulary-exercise-21/"
"1704513715-7","https://japanesetest4you.com/category/jlpt-n3/jlpt-n3-vocabulary-test/page/2/","5. 彼はお父さんについて話を聞くかけがえのない機会を _______ 失ったことを悔やんだ。
 えいえんに
 ちなみに
 まことに
 そばに","JLPT N3 – Vocabulary Exercise 21","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n3-vocabulary-exercise-21/"
"1704513715-8","https://japanesetest4you.com/category/jlpt-n3/jlpt-n3-vocabulary-test/page/2/","6. 彼は、自分の _______ でないげきどが、自分のたましいいっぱいになるのを感じた。
 関係
 感情
 感動
 勘違い","JLPT N3 – Vocabulary Exercise 21","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n3-vocabulary-exercise-21/"
"1704513715-9","https://japanesetest4you.com/category/jlpt-n3/jlpt-n3-vocabulary-test/page/2/","7. お母さんはお金がなくなったことに、いつ _______ だろうか？
 気付く
 気に入る
 気にする
 気をつける","JLPT N3 – Vocabulary Exercise 21","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n3-vocabulary-exercise-21/"
"1704513715-11","https://japanesetest4you.com/category/jlpt-n3/jlpt-n3-vocabulary-test/page/2/","8. _______ の後、みんなは教室に戻ってきた。
 作家
 現状
 休憩
 強調","JLPT N3 – Vocabulary Exercise 21","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n3-vocabulary-exercise-21/"
"1704513715-12","https://japanesetest4you.com/category/jlpt-n3/jlpt-n3-vocabulary-test/page/2/","9. _______ 、こんどこそ就寝の時間じゃ。
 また
 さて
 でも
 それは","JLPT N3 – Vocabulary Exercise 21","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n3-vocabulary-exercise-21/"
"1704513715-13","https://japanesetest4you.com/category/jlpt-n3/jlpt-n3-vocabulary-test/page/2/","10. 彼は新しい楽観 _______ に目覚めたかのようだった。
 喧嘩
 結果
 議論
 主義","JLPT N3 – Vocabulary Exercise 21","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n3-vocabulary-exercise-21/"
"1704513715-14","https://japanesetest4you.com/category/jlpt-n3/jlpt-n3-vocabulary-test/page/2/","Answer Key:","JLPT N3 – Vocabulary Exercise 21","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n3-vocabulary-exercise-21/"
"1704513715-15","https://japanesetest4you.com/category/jlpt-n3/jlpt-n3-vocabulary-test/page/2/","Question 1: 4
Question 2: 1
Question 3: 3
Question 4: 3
Question 5: 1
Question 6: 2
Question 7: 1
Question 8: 3
Question 9: 2
Question 10: 4","JLPT N3 – Vocabulary Exercise 21","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n3-vocabulary-exercise-21/"
"1704513715-16","https://japanesetest4you.com/category/jlpt-n3/jlpt-n3-vocabulary-test/page/2/","Click here to download JLPT N3 Grammar Ebook (preview version).","JLPT N3 – Vocabulary Exercise 21","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n3-vocabulary-exercise-21/"
"1704513715-17","https://japanesetest4you.com/category/jlpt-n3/jlpt-n3-vocabulary-test/page/2/","Click here to download JLPT N3 Grammar Audio Lesson Part 1 (free).","JLPT N3 – Vocabulary Exercise 21","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n3-vocabulary-exercise-21/"
"1704513715-18","https://japanesetest4you.com/category/jlpt-n3/jlpt-n3-vocabulary-test/page/2/","Click here to download JLPT N3 Grammar Audio Lesson Part 2 to Part 11 (requires paid membership).","JLPT N3 – Vocabulary Exercise 21","https://japanesetest4you.com/japanese-language-proficiency-test-jlpt-n3-vocabulary-exercise-21/"
