単語,ひらがな,JLPT,種類,グループ,ます形,て形,た形,ない形,条件形,受身動詞,使役動詞,命令形,可能動詞,意向形,禁止形
おっしゃる,おっしゃる,N5,他動詞,1-あうお段+る,おっしゃいます,おっしゃって,おっしゃった,おっしゃらない,おっしゃれば,おっしゃられる,おっしゃらせる,おっしゃい,,おっしゃろう,おっしゃるな
やる,やる,N5,他動詞,1-あうお段+る,やります,やって,やった,やらない,やれば,やられる,やらせる,やれ,,やろう,やるな
被る,かぶる,N5,他動詞,1-あうお段+る,被ります,被って,被った,被らない,被れば,被られる,被らせる,被れ,,被ろう,被るな
差す,さす,N5,他動詞,1-う段る除き,差します,差して,差した,差さない,差せば,差される,差させる,差せ,,差そう,差すな
出す,だす,N5,他動詞,1-う段る除き,出します,出して,出した,出さない,出せば,出される,出させる,出せ,,出そう,出すな
穿く,はく,N5,他動詞,1-う段る除き,穿きます,穿いて,穿いた,穿かない,穿けば,穿かれる,穿かせる,穿け,,穿こう,穿くな
吹く,ふく,N5,他動詞,1-う段る除き,吹きます,吹いて,吹いた,吹かない,吹けば,吹かれる,吹かせる,吹け,,吹こう,吹くな
撮る,とる,N5,他動詞,1-あうお段+る,撮ります,撮って,撮った,撮らない,撮れば,撮られる,撮らせる,撮れ,,撮ろう,撮るな
待つ,まつ,N5,他動詞,1-う段る除き,待ちます,待って,待った,待たない,待てば,待たれる,待たせる,待て,,待とう,待つな
貸す,かす,N5,他動詞,1-う段る除き,貸します,貸して,貸した,貸さない,貸せば,貸される,貸させる,貸せ,,貸そう,貸すな
読む,よむ,N5,他動詞,1-う段る除き,読みます,読んで,読んだ,読まない,読めば,読まれる,読ませる,読め,,読もう,読むな
渡す,わたす,N5,他動詞,1-う段る除き,渡します,渡して,渡した,渡さない,渡せば,渡される,渡させる,渡せ,,渡そう,渡すな
返す,かえす,N5,他動詞,1-う段る除き,返します,返して,返した,返さない,返せば,返される,返させる,返せ,,返そう,返すな
歌う,うたう,N5,他動詞,1-う段る除き,歌います,歌って,歌った,歌わない,歌えば,歌われる,歌わせる,歌え,,歌おう,歌うな
呼ぶ,よぶ,N5,他動詞,1-う段る除き,呼びます,呼んで,呼んだ,呼ばない,呼べば,呼ばれる,呼ばせる,呼べ,,呼ぼう,呼ぶな
話す,はなす,N5,他動詞,1-う段る除き,話します,話して,話した,話さない,話せば,話される,話させる,話せ,,話そう,話すな
見送る,みおくる,N5,他動詞,1-あうお段+る,見送ります,見送って,見送った,見送らない,見送れば,見送られる,見送らせる,見送れ,,見送ろう,見送るな
頼む,たのむ,N5,他動詞,1-う段る除き,頼みます,頼んで,頼んだ,頼まない,頼めば,頼まれる,頼ませる,頼め,,頼もう,頼むな
履く,はく,N5,他動詞,1-う段る除き,履きます,履いて,履いた,履かない,履けば,履かれる,履かせる,履け,,履こう,履くな
買う,かう,N5,他動詞,1-う段る除き,買います,買って,買った,買わない,買えば,買われる,買わせる,買え,,買おう,買うな
売る,うる,N5,他動詞,1-あうお段+る,売ります,売って,売った,売らない,売れば,売られる,売らせる,売れ,,売ろう,売るな
磨く,みがく,N5,他動詞,1-う段る除き,磨きます,磨いて,磨いた,磨かない,磨けば,磨かれる,磨かせる,磨け,,磨こう,磨くな
切る,きる,N5,他動詞,1-特例,切ります,切って,切った,切らない,切れば,切られる,切らせる,切れ,,切ろう,切るな
取る,とる,N5,他動詞,1-あうお段+る,取ります,取って,取った,取らない,取れば,取られる,取らせる,取れ,,取ろう,取るな
申す,もうす,N5,他動詞,1-う段る除き,申します,申して,申した,申さない,申せば,申される,申させる,申せ,,申そう,申すな
使う,つかう,N5,他動詞,1-う段る除き,使います,使って,使った,使わない,使えば,使われる,使わせる,使え,,使おう,使うな
書く,かく,N5,他動詞,1-う段る除き,書きます,書いて,書いた,書かない,書けば,書かれる,書かせる,書け,,書こう,書くな
思う,おもう,N5,他動詞,1-う段る除き,思います,思って,思った,思わない,思えば,思われる,思わせる,思え,,思おう,思うな
送る,おくる,N5,他動詞,1-あうお段+る,送ります,送って,送った,送らない,送れば,送られる,送らせる,送れ,,送ろう,送るな
弾く,はじく,N5,他動詞,1-う段る除き,弾きます,弾いて,弾いた,弾かない,弾けば,弾かれる,弾かせる,弾け,,弾こう,弾くな
探す,さがす,N5,他動詞,1-う段る除き,探します,探して,探した,探さない,探せば,探される,探させる,探せ,,探そう,探すな
貼る,はる,N5,他動詞,1-あうお段+る,貼ります,貼って,貼った,貼らない,貼れば,貼られる,貼らせる,貼れ,,貼ろう,貼るな
脱ぐ,ぬぐ,N5,他動詞,1-う段る除き,脱ぎます,脱いで,脱いだ,脱がない,脱げば,脱がれる,脱がせる,脱げ,,脱ごう,脱ぐな
聞く,きく,N5,他動詞,1-う段る除き,聞きます,聞いて,聞いた,聞かない,聞けば,聞かれる,聞かせる,聞け,,聞こう,聞くな
無くす,なくす,N5,他動詞,1-う段る除き,無くします,無くして,無くした,無くさない,無くせば,無くされる,無くさせる,無くせ,,無くそう,無くすな
吸う,すう,N5,他動詞,1-う段る除き,吸います,吸って,吸った,吸わない,吸えば,吸われる,吸わせる,吸え,,吸おう,吸うな
習う,ならう,N5,他動詞,1-う段る除き,習います,習って,習った,習わない,習えば,習われる,習わせる,習え,,習おう,習うな
洗う,あらう,N5,他動詞,1-う段る除き,洗います,洗って,洗った,洗わない,洗えば,洗われる,洗わせる,洗え,,洗おう,洗うな
消す,けす,N5,他動詞,1-う段る除き,消します,消して,消した,消さない,消せば,消される,消させる,消せ,,消そう,消すな
選ぶ,えらぶ,N5,他動詞,1-う段る除き,選びます,選んで,選んだ,選ばない,選べば,選ばれる,選ばせる,選べ,,選ぼう,選ぶな
押す,おす,N5,他動詞,1-う段る除き,押します,押して,押した,押さない,押せば,押される,押させる,押せ,,押そう,押すな
引く,ひく,N5,他動詞,1-う段る除き,引きます,引いて,引いた,引かない,引けば,引かれる,引かせる,引け,,引こう,引くな
飲む,のむ,N5,他動詞,1-う段る除き,飲みます,飲んで,飲んだ,飲まない,飲めば,飲まれる,飲ませる,飲め,,飲もう,飲むな
振る,ふる,N5,他動詞,1-あうお段+る,振ります,振って,振った,振らない,振れば,振られる,振らせる,振れ,,振ろう,振るな
知る,しる,N5,他動詞,1-特例,知ります,知って,知った,知らない,知れば,知られる,知らせる,知れ,,知ろう,知るな
直す,なおす,N5,他動詞,1-う段る除き,直します,直して,直した,直さない,直せば,直される,直させる,直せ,,直そう,直すな
置く,おく,N5,他動詞,1-う段る除き,置きます,置いて,置いた,置かない,置けば,置かれる,置かせる,置け,,置こう,置くな
祝う,いわう,N5,他動詞,1-う段る除き,祝います,祝って,祝った,祝わない,祝えば,祝われる,祝わせる,祝え,,祝おう,祝うな
作る,つくる,N5,他動詞,1-あうお段+る,作ります,作って,作った,作らない,作れば,作られる,作らせる,作れ,,作ろう,作るな
閉める,しめる,N5,他動詞,2-る,閉めます,閉めて,閉めた,閉めない,閉めれば,閉められる,閉めさせる,閉めろ,,閉めよう,閉めるな
並べる,ならべる,N5,他動詞,2-る,並べます,並べて,並べた,並べない,並べれば,並べられる,並べさせる,並べろ,,並べよう,並べるな
締める,しめる,N5,他動詞,2-る,締めます,締めて,締めた,締めない,締めれば,締められる,締めさせる,締めろ,,締めよう,締めるな
付ける,つける,N5,他動詞,2-る,付けます,付けて,付けた,付けない,付ければ,付けられる,付けさせる,付けろ,,付けよう,付けるな
掛ける,かける,N5,他動詞,2-る,掛けます,掛けて,掛けた,掛けない,掛ければ,掛けられる,掛けさせる,掛けろ,,掛けよう,掛けるな
見せる,みせる,N5,他動詞,2-る,見せます,見せて,見せた,見せない,見せれば,見せられる,見せさせる,見せろ,,見せよう,見せるな
見る,みる,N5,他動詞,2-る,見ます,見て,見た,見ない,見れば,見られる,見させる,見ろ,,見よう,見るな
教える,おしえる,N5,他動詞,2-る,教えます,教えて,教えた,教えない,教えれば,教えられる,教えさせる,教えろ,,教えよう,教えるな
借りる,かりる,N5,他動詞,2-る,借ります,借りて,借りた,借りない,借りれば,借りられる,借りさせる,借りろ,,借りよう,借りるな
覚える,おぼえる,N5,他動詞,2-る,覚えます,覚えて,覚えた,覚えない,覚えれば,覚えられる,覚えさせる,覚えろ,,覚えよう,覚えるな
開ける,あける,N5,他動詞,2-る,開けます,開けて,開けた,開けない,開ければ,開けられる,開けさせる,開けろ,,開けよう,開けるな
立てる,たてる,N5,他動詞,2-る,立てます,立てて,立てた,立てない,立てれば,立てられる,立てさせる,立てろ,,立てよう,立てるな
確かめる,たしかめる,N5,他動詞,2-る,確かめます,確かめて,確かめた,確かめない,確かめれば,確かめられる,確かめさせる,確かめろ,,確かめよう,確かめるな
入れる,いれる,N5,他動詞,2-る,入れます,入れて,入れた,入れない,入れれば,入れられる,入れさせる,入れろ,,入れよう,入れるな
上げる,あげる,N5,他動詞,2-る,上げます,上げて,上げた,上げない,上げれば,上げられる,上げさせる,上げろ,,上げよう,上げるな
食べる,たべる,N5,他動詞,2-る,食べます,食べて,食べた,食べない,食べれば,食べられる,食べさせる,食べろ,,食べよう,食べるな
忘れる,わすれる,N5,他動詞,2-る,忘れます,忘れて,忘れた,忘れない,忘れれば,忘れられる,忘れさせる,忘れろ,,忘れよう,忘れるな
信じる,しんじる,N5,他動詞,2-る,信じます,信じて,信じた,信じない,信じれば,信じられる,信じさせる,信じろ,,信じよう,信じるな
浴びる,あびる,N5,他動詞,2-る,浴びます,浴びて,浴びた,浴びない,浴びれば,浴びられる,浴びさせる,浴びろ,,浴びよう,浴びるな
伝える,つたえる,N5,他動詞,2-る,伝えます,伝えて,伝えた,伝えない,伝えれば,伝えられる,伝えさせる,伝えろ,,伝えよう,伝えるな
着る,きる,N5,他動詞,2-る,着ます,着て,着た,着ない,着れば,着られる,着させる,着ろ,,着よう,着るな
ある,ある,N5,自動詞,1-あうお段+る,あります,あって,あった,あらない,あれば,あられる,あらせる,あれ,,あろう,あるな
閉まる,しまる,N5,自動詞,1-あうお段+る,閉まります,閉まって,閉まった,閉まらない,閉まれば,閉まられる,閉まらせる,閉まれ,,閉まろう,閉まるな
並ぶ,ならぶ,N5,自動詞,1-う段る除き,並びます,並んで,並んだ,並ばない,並べば,並ばれる,並ばせる,並べ,,並ぼう,並ぶな
歩く,あるく,N5,自動詞,1-う段る除き,歩きます,歩いて,歩いた,歩かない,歩けば,歩かれる,歩かせる,歩け,,歩こう,歩くな
乗る,のる,N5,自動詞,1-あうお段+る,乗ります,乗って,乗った,乗らない,乗れば,乗られる,乗らせる,乗れ,,乗ろう,乗るな
登る,のぼる,N5,自動詞,1-あうお段+る,登ります,登って,登った,登らない,登れば,登られる,登らせる,登れ,,登ろう,登るな
働く,はたらく,N5,自動詞,1-う段る除き,働きます,働いて,働いた,働かない,働けば,働かれる,働かせる,働け,,働こう,働くな
渡る,わたる,N5,自動詞,1-あうお段+る,渡ります,渡って,渡った,渡らない,渡れば,渡られる,渡らせる,渡れ,,渡ろう,渡るな
飛ぶ,とぶ,N5,自動詞,1-う段る除き,飛びます,飛んで,飛んだ,飛ばない,飛べば,飛ばれる,飛ばせる,飛べ,,飛ぼう,飛ぶな
分かる,わかる,N5,自動詞,1-あうお段+る,分かります,分かって,分かった,分からない,分かれば,分かられる,分からせる,分かれ,,分かろう,分かるな
掛かる,かかる,N5,自動詞,1-あうお段+る,掛かります,掛かって,掛かった,掛からない,掛かれば,掛かられる,掛からせる,掛かれ,,掛かろう,掛かるな
帰る,かえる,N5,自動詞,1-特例,帰ります,帰って,帰った,帰らない,帰れば,帰られる,帰らせる,帰れ,,帰ろう,帰るな
行く,いく,N5,自動詞,1-う段る除き,行きます,行って,行った,行かない,行けば,行かれる,行かせる,行け,,行こう,行くな
滑る,すべる,N5,自動詞,1-特例,滑ります,滑って,滑った,滑らない,滑れば,滑られる,滑らせる,滑れ,,滑ろう,滑るな
会う,あう,N5,自動詞,1-う段る除き,会います,会って,会った,会わない,会えば,会われる,会わせる,会え,,会おう,会うな
降る,ふる,N5,自動詞,1-あうお段+る,降ります,降って,降った,降らない,降れば,降られる,降らせる,降れ,,降ろう,降るな
困る,こまる,N5,自動詞,1-あうお段+る,困ります,困って,困った,困らない,困れば,困られる,困らせる,困れ,,困ろう,困るな
立つ,たつ,N5,自動詞,1-う段る除き,立ちます,立って,立った,立たない,立てば,立たれる,立たせる,立て,,立とう,立つな
迷う,まよう,N5,自動詞,1-う段る除き,迷います,迷って,迷った,迷わない,迷えば,迷われる,迷わせる,迷え,,迷おう,迷うな
悩む,なやむ,N5,自動詞,1-う段る除き,悩みます,悩んで,悩んだ,悩まない,悩めば,悩まれる,悩ませる,悩め,,悩もう,悩むな
泣く,なく,N5,自動詞,1-う段る除き,泣きます,泣いて,泣いた,泣かない,泣けば,泣かれる,泣かせる,泣け,,泣こう,泣くな
曲がる,まがる,N5,自動詞,1-あうお段+る,曲がります,曲がって,曲がった,曲がらない,曲がれば,曲がられる,曲がらせる,曲がれ,,曲がろう,曲がるな
入る,はいる,N5,自動詞,1-特例,入ります,入って,入った,入らない,入れば,入られる,入らせる,入れ,,入ろう,入るな
上る,のぼる,N5,自動詞,1-あうお段+る,上ります,上って,上った,上らない,上れば,上られる,上らせる,上れ,,上ろう,上るな
始まる,はじまる,N5,自動詞,1-あうお段+る,始まります,始まって,始まった,始まらない,始まれば,始まられる,始まらせる,始まれ,,始まろう,始まるな
死ぬ,しぬ,N5,自動詞,1-う段る除き,死にます,死んで,死んだ,死なない,死ねば,死なれる,死なせる,死ね,,死のう,死ぬな
曇る,くもる,N5,自動詞,1-あうお段+る,曇ります,曇って,曇った,曇らない,曇れば,曇られる,曇らせる,曇れ,,曇ろう,曇るな
違う,ちがう,N5,自動詞,1-う段る除き,違います,違って,違った,違わない,違えば,違われる,違わせる,違え,,違おう,違うな
咲く,さく,N5,自動詞,1-う段る除き,咲きます,咲いて,咲いた,咲かない,咲けば,咲かれる,咲かせる,咲け,,咲こう,咲くな
要る,いる,N5,自動詞,1-特例,要ります,要って,要った,要らない,要れば,要られる,要らせる,要れ,,要ろう,要るな
泳ぐ,およぐ,N5,自動詞,1-う段る除き,泳ぎます,泳いで,泳いだ,泳がない,泳げば,泳がれる,泳がせる,泳げ,,泳ごう,泳ぐな
